movie_name,movie_star
肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),9.7
霸王别姬 / 再见，我的妾  /  Farewell My Concubine,9.6
阿甘正传 / Forrest Gump / 福雷斯特·冈普,9.5
泰坦尼克号 / Titanic / 铁达尼号(港 / 台),9.5
千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,9.4
这个杀手不太冷 / Léon / 终极追杀令(台)  /  杀手莱昂,9.4
美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,9.5
星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),9.4
盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),9.4
辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,9.5
楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,9.4
忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),9.4
海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,9.3
三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),9.2
放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,9.3
机器人总动员 / WALL·E / 太空奇兵·威E(港)  /  瓦力(台),9.3
疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),9.2
无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,9.3
控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,9.6
大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,9.2
熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,9.4
教父 / The Godfather / Mario Puzo's The Godfather,9.3
触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),9.3
当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,9.2
寻梦环游记 / Coco / 玩转极乐园(港)  /  可可夜总会(台),9.1
末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)  /  L'ultimo imperatore,9.3
龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,9.2
怦然心动 / Flipped / 萌动青春  /  青春萌动,9.1
活着 / 人生  /  Lifetimes,9.3
哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,9.2
蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),9.2
指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,9.3
我不是药神 / 中国药神  /  印度药神,9.0
乱世佳人 / Gone with the Wind / 飘,9.3
飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),9.1
素媛 / 소원 / 许愿  /  希望：为爱重生(台),9.3
十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,9.4
哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),9.1
让子弹飞 / 让子弹飞一会儿  /  火烧云,9.0
何以为家 / كفرناحوم / 迦百农  /  星仔打官司(港),9.1
摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港),9.0
猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  捉智双雄(港),9.1
天空之城 / 天空の城ラピュタ / 天空之城拉普他  /  空中城堡拉普他,9.2
海蒂和爷爷 / Heidi / 飘零燕(港)  /  海蒂,9.3
鬼子来了 / Devils on the Doorstep,9.3
少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,9.1
钢琴家 / The Pianist / 钢琴战曲(港)  /  战地琴人(台),9.3
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,9.0
指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,9.2
闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,9.1
